timestamp,R_ohm,strain
1778587646010,20000.00195300,-5.94394828e-03
1778587646011,19481.27148400,-1.03884569e-02
1778587646012,19912.28320300,-6.69552692e-03
1778587646013,20176.99414000,-4.42747038e-03
1778587646014,19912.28320300,-6.69552692e-03
1778587646015,20088.23828100,-5.18793502e-03
1778587646016,20088.23828100,-5.18793502e-03
1778587646017,20446.43164000,-2.11891641e-03
1778587646018,20537.31640600,-1.34021120e-03
1778587646019,20813.25585900,1.02405183e-03
1778587648447,21284.40625000,5.06089192e-03
1778587648448,20813.25585900,1.02405183e-03
1778587648449,20813.25585900,1.02405183e-03
1778587648450,20813.25585900,1.02405183e-03
1778587648451,21000.00195300,2.62410169e-03
1778587648452,21000.00195300,2.62410169e-03
1778587648453,21000.00195300,2.62410169e-03
1778587648454,21000.00195300,2.62410169e-03
1778587648455,21000.00195300,2.62410169e-03
1778587648456,21000.00195300,2.62410169e-03
1778587650885,21380.36914000,5.88310676e-03
1778587650886,21094.22656200,3.43142285e-03
1778587650887,21000.00195300,2.62410169e-03
1778587650888,21000.00195300,2.62410169e-03
1778587650889,21094.22656200,3.43142285e-03
1778587650890,21094.22656200,3.43142285e-03
1778587650891,21094.22656200,3.43142285e-03
1778587650892,21094.22656200,3.43142285e-03
1778587650893,21094.22656200,3.43142285e-03
1778587650894,21189.02734300,4.24368068e-03
1778587653320,21380.36914000,5.88310676e-03
1778587653321,21094.22656200,3.43142285e-03
1778587653322,21094.22656200,3.43142285e-03
1778587653323,21094.22656200,3.43142285e-03
1778587653324,21094.22656200,3.43142285e-03
1778587653325,21094.22656200,3.43142285e-03
1778587653326,21094.22656200,3.43142285e-03
1778587653327,21094.22656200,3.43142285e-03
1778587653328,21094.22656200,3.43142285e-03
1778587653329,21094.22656200,3.43142285e-03
